Frequency (Hz)	Level (dB)
187.500000	-17.430038
375.000000	-17.795603
562.500000	-20.478914
750.000000	-23.006945
937.500000	-20.733288
1125.000000	-25.839708
1312.500000	-30.383499
1500.000000	-31.562605
1687.500000	-33.102390
1875.000000	-33.337147
2062.500000	-35.554405
2250.000000	-36.744606
2437.500000	-37.289917
2625.000000	-38.176018
2812.500000	-36.214779
3000.000000	-39.449368
3187.500000	-41.788696
3375.000000	-42.711395
3562.500000	-44.420265
3750.000000	-42.155651
3937.500000	-43.073868
4125.000000	-46.763676
4312.500000	-47.048363
4500.000000	-47.664661
4687.500000	-48.826344
4875.000000	-48.739201
5062.500000	-48.842712
5250.000000	-48.798084
5437.500000	-50.262085
5625.000000	-52.051640
5812.500000	-52.204430
6000.000000	-51.922142
6187.500000	-50.849075
6375.000000	-51.722130
6562.500000	-52.747280
6750.000000	-52.912151
6937.500000	-52.540943
7125.000000	-53.297546
7312.500000	-53.560001
7500.000000	-53.294102
7687.500000	-52.937695
7875.000000	-52.593334
8062.500000	-52.060051
8250.000000	-52.338566
8437.500000	-53.615929
8625.000000	-53.476467
8812.500000	-53.648926
9000.000000	-53.623898
9187.500000	-52.808582
9375.000000	-53.141212
9562.500000	-53.657566
9750.000000	-53.791508
9937.500000	-54.338352
10125.000000	-53.921967
10312.500000	-53.868114
10500.000000	-54.324802
10687.500000	-54.290752
10875.000000	-53.543213
11062.500000	-54.128189
11250.000000	-54.265648
11437.500000	-54.854424
11625.000000	-55.673798
11812.500000	-55.977345
12000.000000	-56.333267
12187.500000	-56.584808
12375.000000	-56.848270
12562.500000	-56.816578
12750.000000	-57.312901
12937.500000	-57.594730
13125.000000	-58.124882
13312.500000	-58.156967
13500.000000	-58.668983
13687.500000	-59.157364
13875.000000	-60.058525
14062.500000	-60.543011
14250.000000	-61.081627
14437.500000	-61.391403
14625.000000	-61.727325
14812.500000	-62.335938
15000.000000	-62.541447
15187.500000	-62.948967
15375.000000	-63.009502
15562.500000	-63.322979
15750.000000	-63.470802
15937.500000	-64.626518
16125.000000	-67.934326
16312.500000	-69.023109
16500.000000	-69.773727
16687.500000	-70.925148
16875.000000	-71.550072
17062.500000	-72.869240
17250.000000	-76.380516
17437.500000	-84.574051
17625.000000	-100.254387
17812.500000	-116.023720
18000.000000	-121.416130
18187.500000	-124.647270
18375.000000	-128.417496
18562.500000	-130.456223
18750.000000	-130.475204
18937.500000	-127.868126
19125.000000	-130.733704
19312.500000	-132.430603
19500.000000	-130.664749
19687.500000	-129.320175
19875.000000	-130.171722
20062.500000	-133.738831
20250.000000	-132.629913
20437.500000	-128.949478
20625.000000	-128.371918
20812.500000	-129.717621
21000.000000	-132.003662
21187.500000	-133.885605
21375.000000	-129.165237
21562.500000	-128.861221
21750.000000	-132.796936
21937.500000	-133.682037
22125.000000	-133.762375
22312.500000	-129.642761
22500.000000	-129.688309
22687.500000	-130.308914
22875.000000	-129.447128
23062.500000	-131.171661
23250.000000	-133.464996
23437.500000	-132.076508
23625.000000	-130.799271
23812.500000	-129.430893
